year,processor,transistors,manufacturer
2021,Apple M1 Max,57000000000,Apple
2021,Apple M1 Ultra,114000000000,Apple
2022,Apple A16 Bionic,16000000000,Apple
2022,Apple M2,20000000000,Apple
2022,Apple M2 Max,67000000000,Apple
2022,96-core AMD Epyc (Genoa),90000000000,AMD
2022,Apple M2 Ultra,134000000000,Apple
2023,Snapdragon 8 Gen 3,17200000000,Qualcomm
2023,Apple A17 Pro,19000000000,Apple
2023,Apple M3,25000000000,Apple
2023,192-core AMD Epyc (Bergamo),82000000000,AMD
2023,Apple M3 Max,92000000000,Apple
2024,Snapdragon 8 Elite,20000000000,Qualcomm
2024,Apple M4,28000000000,Apple
2024,128-core AMD Epyc (Turin),92000000000,AMD
2024,Apple M4 Max,105000000000,Apple
